page,component,cms_component_name,level,hierarchy,available,status
Our Property,N/A,N/A,1,Our Property,False,SKIPPED: Page had no components defined.
Our Story,M1-Inside Hero,M1-Inside Hero,2,Our Property > Our Story,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Our Story,L1-Image Intro,L1-Image Intro,2,Our Property > Our Story,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Our Story,L29-Timeline,L29-Timeline,2,Our Property > Our Story,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Gallery,M2-No image Hero,M2-No image Hero,2,Our Property > Gallery,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Location,M1-Inside Hero,M1-Inside Hero,2,Our Property > Location,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Location,L18-Contact Us Map,L18-Contact Us Map,2,Our Property > Location,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Location,L17-Bullet Points Snippet,L17-Bullet Points Snippet,2,Our Property > Location,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Transportation,N/A,N/A,3,Our Property > Location > Transportation,False,SKIPPED: Page had no components defined.
Contact,M1-Inside Hero,M1-Inside Hero,2,Our Property > Contact,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Contact,L20-Form With Image,L20-Form With Image,2,Our Property > Contact,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Contact,L23-Contact Info,L23-Contact Info,2,Our Property > Contact,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Property Map,M1-Inside Hero,M1-Inside Hero,2,Our Property > Property Map,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Property Map,L2-Content Only Intro,L2-Content Only Intro,2,Our Property > Property Map,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Reviews,on,N/A,2,Our Property > Reviews,False,SKIPPED: Component not available.
Reviews,M1-Inside Hero,M1-Inside Hero,2,Our Property > Reviews,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Reviews,L1-Image Intro,L1-Image Intro,2,Our Property > Reviews,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Blogs,M1-Inside Hero,M1-Inside Hero,2,Our Property > Blogs,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Press Releases,N/A,N/A,2,Our Property > Press Releases,False,SKIPPED: Page had no components defined.
FAQs,M2-No image Hero,M2-No image Hero,2,Our Property > FAQs,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
FAQs,L15-Inside Page FAQs,L15-Inside Page FAQs,2,Our Property > FAQs,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Weddings,M1-Inside Hero,M1-Inside Hero,1,Weddings,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Weddings,A2-Modular Navigation,N/A,1,Weddings,False,SKIPPED: Component not available.
Weddings,L3-Intro with awards,L3-Intro with awards,1,Weddings,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Weddings,L24-Amenities Icon,L24-Amenities Icon,1,Weddings,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Weddings,L10-2 Column Snippet,L10-2 Column Snippet,1,Weddings,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Weddings,L13-Full Width Image CTA,L13-Full Width Image CTA,1,Weddings,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Weddings,L31-Video + Quotes,L31-Video Quotes,1,Weddings,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Weddings,L30-inside Page Gallery,L30-inside Page Gallery,1,Weddings,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
