page,component,cms_component_name,level,hierarchy,available,status
Our Property,N/A,N/A,1,Our Property,False,SKIPPED: Page had no components defined.
Our Story,M1-Inside Hero,M1-Inside Hero,2,Our Property > Our Story,True,SUCCESS: Content retrieved and records added to assembly queue.
Our Story,L1-Image Intro,L1-Image Intro,2,Our Property > Our Story,True,SUCCESS: Content retrieved and records added to assembly queue.
Our Story,L29-Timeline,L29-Timeline,2,Our Property > Our Story,True,SUCCESS: Content retrieved and records added to assembly queue.
Gallery,M2-No image Hero,M2-No image Hero,2,Our Property > Gallery,True,SUCCESS: Content retrieved and records added to assembly queue.
Location,M1-Inside Hero,M1-Inside Hero,2,Our Property > Location,True,SUCCESS: Content retrieved and records added to assembly queue.
Location,L18-Contact Us Map,L18-Contact Us Map,2,Our Property > Location,True,SUCCESS: Content retrieved and records added to assembly queue.
Location,L17-Bullet Points Snippet,L17-Bullet Points Snippet,2,Our Property > Location,True,SUCCESS: Content retrieved and records added to assembly queue.
Transportation,N/A,N/A,3,Our Property > Location > Transportation,False,SKIPPED: Page had no components defined.
Contact,M1-Inside Hero,M1-Inside Hero,2,Our Property > Contact,True,SUCCESS: Content retrieved and records added to assembly queue.
Contact,L20-Form With Image,L20-Form With Image,2,Our Property > Contact,True,SUCCESS: Content retrieved and records added to assembly queue.
Contact,L23-Contact Info,L23-Contact Info,2,Our Property > Contact,True,SUCCESS: Content retrieved and records added to assembly queue.
Property Map,M1-Inside Hero,M1-Inside Hero,2,Our Property > Property Map,True,SUCCESS: Content retrieved and records added to assembly queue.
Property Map,L2-Content Only Intro,L2-Content Only Intro,2,Our Property > Property Map,True,SUCCESS: Content retrieved and records added to assembly queue.
Reviews,M1-Inside Hero,M1-Inside Hero,2,Our Property > Reviews,True,SUCCESS: Content retrieved and records added to assembly queue.
Reviews,L1-Image Intro,L1-Image Intro,2,Our Property > Reviews,True,SUCCESS: Content retrieved and records added to assembly queue.
Blogs,M1-Inside Hero,M1-Inside Hero,2,Our Property > Blogs,True,SUCCESS: Content retrieved and records added to assembly queue.
Press Releases,N/A,N/A,2,Our Property > Press Releases,False,SKIPPED: Page had no components defined.
FAQs,M2-No image Hero,M2-No image Hero,2,Our Property > FAQs,True,SUCCESS: Content retrieved and records added to assembly queue.
FAQs,L15-Inside Page FAQs,L15-Inside Page FAQs,2,Our Property > FAQs,True,SUCCESS: Content retrieved and records added to assembly queue.
Weddings,M1-Inside Hero,M1-Inside Hero,1,Weddings,True,SUCCESS: Content retrieved and records added to assembly queue.
Weddings,A2-Modular Navigation,N/A,1,Weddings,False,SKIPPED: Component not available.
Weddings,L3-Intro with awards,L3-Intro with awards,1,Weddings,True,SUCCESS: Content retrieved and records added to assembly queue.
Weddings,L24-Amenities Icon,L24-Amenities Icon,1,Weddings,True,SUCCESS: Content retrieved and records added to assembly queue.
Weddings,L10-2 Column Snippet,L10-2 Column Snippet,1,Weddings,True,SUCCESS: Content retrieved and records added to assembly queue.
Weddings,L13-Full Width Image CTA,L13-Full Width Image CTA,1,Weddings,True,SUCCESS: Content retrieved and records added to assembly queue.
Weddings,L31-Video + Quotes,L31-Video Quotes,1,Weddings,True,SUCCESS: Content retrieved and records added to assembly queue.
Weddings,L30-inside Page Gallery,L30-inside Page Gallery,1,Weddings,True,SUCCESS: Content retrieved and records added to assembly queue.
Weddings,L15-Inside Page FAQs,L15-Inside Page FAQs,1,Weddings,True,SUCCESS: Content retrieved and records added to assembly queue.
Our Spaces,M1-Inside Hero,M1-Inside Hero,2,Weddings > Our Spaces,True,SUCCESS: Content retrieved and records added to assembly queue.
Our Spaces,A2-Modular Navigation,N/A,2,Weddings > Our Spaces,False,SKIPPED: Component not available.
Our Spaces,L1-Image Intro,L1-Image Intro,2,Weddings > Our Spaces,True,SUCCESS: Content retrieved and records added to assembly queue.
Our Spaces,L4-Rooms/Venue Snippet,L4-Rooms Venue Snippet,2,Weddings > Our Spaces,True,SUCCESS: Content retrieved and records added to assembly queue.
Our Spaces,L32-Chart Table,L32-Chart Table,2,Weddings > Our Spaces,True,SUCCESS: Content retrieved and records added to assembly queue.
Our Spaces,L8-Fea,N/A,2,Weddings > Our Spaces,False,SKIPPED: Component not available.
Our Spaces,t,N/A,2,Weddings > Our Spaces,False,SKIPPED: Component not available.
Our Spaces,L30-inside Page Gallery,L30-inside Page Gallery,2,Weddings > Our Spaces,True,SUCCESS: Content retrieved and records added to assembly queue.
Wedding Celebrations,M1-Inside Hero,M1-Inside Hero,2,Weddings > Wedding Celebrations,True,SUCCESS: Content retrieved and records added to assembly queue.
Wedding Celebrations,A2-Modular Navigation,N/A,2,Weddings > Wedding Celebrations,False,SKIPPED: Component not available.
Wedding Celebrations,L1-Image Intro,L1-Image Intro,2,Weddings > Wedding Celebrations,True,SUCCESS: Content retrieved and records added to assembly queue.
Wedding Celebrations,L5-Rooms/Venue Snippet,L5-Rooms Venue Snippet,2,Weddings > Wedding Celebrations,True,SUCCESS: Content retrieved and records added to assembly queue.
Bridal Showers,N/A,N/A,3,Weddings > Wedding Celebrations > Bridal Showers,False,SKIPPED: Page had no components defined.
Elopements,N/A,N/A,3,Weddings > Wedding Celebrations > Elopements,False,SKIPPED: Page had no components defined.
Engagement Parties,N/A,N/A,3,Weddings > Wedding Celebrations > Engagement Parties,False,SKIPPED: Page had no components defined.
Honeymoons & Anniversaries,N/A,N/A,3,Weddings > Wedding Celebrations > Honeymoons & Anniversaries,False,SKIPPED: Page had no components defined.
Rehearsal Dinners,N/A,N/A,3,Weddings > Wedding Celebrations > Rehearsal Dinners,False,SKIPPED: Page had no components defined.
Send-Off Brunches,N/A,N/A,3,Weddings > Wedding Celebrations > Send-Off Brunches,False,SKIPPED: Page had no components defined.
Weddings & Receptions,N/A,N/A,3,Weddings > Wedding Celebrations > Weddings & Receptions,False,SKIPPED: Page had no components defined.
Wedding Packages,M1-Inside Hero,M1-Inside Hero,2,Weddings > Wedding Packages,True,SUCCESS: Content retrieved and records added to assembly queue.
Wedding Packages,A2-Modular Navigation,N/A,2,Weddings > Wedding Packages,False,SKIPPED: Component not available.
Wedding Packages,L1-Image Intro,L1-Image Intro,2,Weddings > Wedding Packages,True,SUCCESS: Content retrieved and records added to assembly queue.
Wedding Packages,L4-Rooms/Venue Snippet,L4-Rooms Venue Snippet,2,Weddings > Wedding Packages,True,SUCCESS: Content retrieved and records added to assembly queue.
Wedding Packages,L13-Full Width Image CTA,L13-Full Width Image CTA,2,Weddings > Wedding Packages,True,SUCCESS: Content retrieved and records added to assembly queue.
