page,component,cms_component_name,level,hierarchy,available,status
Rooms,M1-Inside Hero,M1-Inside Hero,1,Rooms,True,SUCCESS: Content retrieved and records added to assembly queue.
Rooms,M2-Image Intro,M2-Image Intro,1,Rooms,True,SUCCESS: Content retrieved and records added to assembly queue.
Rooms,D1-Offer Banner,D1-Offer Banner,1,Rooms,True,SUCCESS: Content retrieved and records added to assembly queue.
Rooms,A9-2 Column Snippet,A9-2 Column Snippet,1,Rooms,True,SUCCESS: Content retrieved and records added to assembly queue.
Rooms,B5-Amenities with Icons,B5-Amenities with Icons,1,Rooms,True,SUCCESS: Content retrieved and records added to assembly queue.
Rooms,B7-Amenities Bullets,B7-Amenities Bullets,1,Rooms,True,SUCCESS: Content retrieved and records added to assembly queue.
Rooms,B11-FAQs,B11-FAQs,1,Rooms,True,SUCCESS: Content retrieved and records added to assembly queue.
Offers,M1-Inside Hero,M1-Inside Hero,1,Offers,True,SUCCESS: Content retrieved and records added to assembly queue.
Offers,M2-Image Intro,M2-Image Intro,1,Offers,True,SUCCESS: Content retrieved and records added to assembly queue.
Offers,A2-Feature Snippet,A2-Feature Snippet,1,Offers,True,SUCCESS: Content retrieved and records added to assembly queue.
Offers,B11-FAQs,B11-FAQs,1,Offers,True,SUCCESS: Content retrieved and records added to assembly queue.
Bed and Breakast Package,M5-Intro,M5-Intro,2,Offers > Bed and Breakast Package,True,SUCCESS: Content retrieved and records added to assembly queue.
Bed and Breakast Package,M4-Second Tier Intro Snippet,M4-Second Tier Intro Snippet,2,Offers > Bed and Breakast Package,True,SUCCESS: Content retrieved and records added to assembly queue.
Pet Pride Package,M5-Intro,M5-Intro,2,Offers > Pet Pride Package,True,SUCCESS: Content retrieved and records added to assembly queue.
Pet Pride Package,M4-Second Tier Intro Snippet,M4-Second Tier Intro Snippet,2,Offers > Pet Pride Package,True,SUCCESS: Content retrieved and records added to assembly queue.
Park and Stay Package,M5-Intro,M5-Intro,2,Offers > Park and Stay Package,True,SUCCESS: Content retrieved and records added to assembly queue.
Park and Stay Package,M4-Second Tier Intro Snippet,M4-Second Tier Intro Snippet,2,Offers > Park and Stay Package,True,SUCCESS: Content retrieved and records added to assembly queue.
