page,component,cms_component_name,level,hierarchy,available,status
Our Property,N/A,N/A,1,Our Property,False,SKIPPED: Page had no components defined.
Our Story,M1-Inside Hero,M1-Inside Hero,2,Our Property > Our Story,True,SUCCESS: Assembled and marked for publishing.
Our Story,L1-Image Intro,L1-Image Intro,2,Our Property > Our Story,True,SUCCESS: Assembled and marked for publishing.
Our Story,L29-Timeline,L29-Timeline,2,Our Property > Our Story,True,SUCCESS: Assembled and marked for publishing.
Gallery,M2-No image Hero,N/A,2,Our Property > Gallery,False,SKIPPED: Component not available.
Location,M1-Inside Hero,M1-Inside Hero,2,Our Property > Location,True,SUCCESS: Assembled and marked for publishing.
Location,L18-Contact Us Map,N/A,2,Our Property > Location,False,SKIPPED: Component not available.
Location,L17-Bullet Points Snippet,L17-Bullet Points Snippet,2,Our Property > Location,True,SUCCESS: Assembled and marked for publishing.
Transportation,N/A,N/A,3,Our Property > Location > Transportation,False,SKIPPED: Page had no components defined.
Contact,M1-Inside Hero,M1-Inside Hero,2,Our Property > Contact,True,SUCCESS: Assembled and marked for publishing.
Contact,L20-Form With Image,N/A,2,Our Property > Contact,False,SKIPPED: Component not available.
Contact,L23-Contact Info,L23-Contact Info,2,Our Property > Contact,True,SUCCESS: Assembled and marked for publishing.
Property Map,M1-Inside Hero,M1-Inside Hero,2,Our Property > Property Map,True,SUCCESS: Assembled and marked for publishing.
Property Map,L2-Content Only Intro,N/A,2,Our Property > Property Map,False,SKIPPED: Component not available.
Reviews,on,N/A,2,Our Property > Reviews,False,SKIPPED: Component not available.
Reviews,M1-Inside Hero,M1-Inside Hero,2,Our Property > Reviews,True,SUCCESS: Assembled and marked for publishing.
Reviews,L1-Image Intro,L1-Image Intro,2,Our Property > Reviews,True,SUCCESS: Assembled and marked for publishing.
Blogs,M1-Inside Hero,M1-Inside Hero,2,Our Property > Blogs,True,SUCCESS: Assembled and marked for publishing.
Press Releases,N/A,N/A,2,Our Property > Press Releases,False,SKIPPED: Page had no components defined.
FAQs,M2-No image Hero,N/A,2,Our Property > FAQs,False,SKIPPED: Component not available.
FAQs,L15-Inside Page FAQs,L15-Inside Page FAQs,2,Our Property > FAQs,True,SUCCESS: Assembled and marked for publishing.
Weddings,M1-Inside Hero,M1-Inside Hero,1,Weddings,True,SUCCESS: Assembled and marked for publishing.
Weddings,A2-Modular Navigation,N/A,1,Weddings,False,SKIPPED: Component not available.
Weddings,L3-Intro with awards,L3-Intro with awards,1,Weddings,True,SUCCESS: Assembled and marked for publishing.
Weddings,L24-Amenities Icon,L24-Amenities Icon,1,Weddings,True,SUCCESS: Assembled and marked for publishing.
Weddings,L10-2 Column Snippet,N/A,1,Weddings,False,SKIPPED: Component not available.
Weddings,L13-Full Width Image CTA,L13-Full Width Image CTA,1,Weddings,True,SUCCESS: Assembled and marked for publishing.
Weddings,L31-Video + Quotes,L31-Video Quotes,1,Weddings,True,SUCCESS: Assembled and marked for publishing.
Weddings,L30-inside Page Gallery,L30-inside Page Gallery,1,Weddings,True,SUCCESS: Assembled and marked for publishing.
Weddings,L15-Inside Page FAQs,L15-Inside Page FAQs,1,Weddings,True,SUCCESS: Assembled and marked for publishing.
Our Spaces,M1-Inside Hero,M1-Inside Hero,2,Weddings > Our Spaces,True,SUCCESS: Assembled and marked for publishing.
Our Spaces,A2-Modular Navigation,N/A,2,Weddings > Our Spaces,False,SKIPPED: Component not available.
Our Spaces,L1-Image Intro,L1-Image Intro,2,Weddings > Our Spaces,True,SUCCESS: Assembled and marked for publishing.
Our Spaces,L4-Rooms/Venue Snippet,L4-Rooms Venue Snippet,2,Weddings > Our Spaces,True,SUCCESS: Assembled and marked for publishing.
Our Spaces,L32-Chart Table,N/A,2,Weddings > Our Spaces,False,SKIPPED: Component not available.
Our Spaces,L8-Feature Snippet,N/A,2,Weddings > Our Spaces,False,SKIPPED: Component not available.
Our Spaces,L30-inside Page Gallery,L30-inside Page Gallery,2,Weddings > Our Spaces,True,SUCCESS: Assembled and marked for publishing.
Wedding Celebrations,M1-Inside Hero,M1-Inside Hero,2,Weddings > Wedding Celebrations,True,SUCCESS: Assembled and marked for publishing.
Wedding Celebrations,A2-Modular Navigation,N/A,2,Weddings > Wedding Celebrations,False,SKIPPED: Component not available.
Wedding Celebrations,L1-Image Intro,L1-Image Intro,2,Weddings > Wedding Celebrations,True,SUCCESS: Assembled and marked for publishing.
Wedding Celebrations,L5-Rooms/Venue Snippet,N/A,2,Weddings > Wedding Celebrations,False,SKIPPED: Component not available.
Bridal Showers,N/A,N/A,3,Weddings > Wedding Celebrations > Bridal Showers,False,SKIPPED: Page had no components defined.
Elopements,N/A,N/A,3,Weddings > Wedding Celebrations > Elopements,False,SKIPPED: Page had no components defined.
Engagement Parties,N/A,N/A,3,Weddings > Wedding Celebrations > Engagement Parties,False,SKIPPED: Page had no components defined.
Honeymoons & Anniversaries,N/A,N/A,3,Weddings > Wedding Celebrations > Honeymoons & Anniversaries,False,SKIPPED: Page had no components defined.
Rehearsal Dinners,N/A,N/A,3,Weddings > Wedding Celebrations > Rehearsal Dinners,False,SKIPPED: Page had no components defined.
Send-Off Brunches,N/A,N/A,3,Weddings > Wedding Celebrations > Send-Off Brunches,False,SKIPPED: Page had no components defined.
Weddings & Receptions,N/A,N/A,3,Weddings > Wedding Celebrations > Weddings & Receptions,False,SKIPPED: Page had no components defined.
Wedding Packages,M1-Inside Hero,M1-Inside Hero,2,Weddings > Wedding Packages,True,SUCCESS: Assembled and marked for publishing.
Wedding Packages,A2-Modular Navigation,N/A,2,Weddings > Wedding Packages,False,SKIPPED: Component not available.
Wedding Packages,L1-Image Intro,L1-Image Intro,2,Weddings > Wedding Packages,True,SUCCESS: Assembled and marked for publishing.
Wedding Packages,L4-Rooms/Venue Snippet,L4-Rooms Venue Snippet,2,Weddings > Wedding Packages,True,SUCCESS: Assembled and marked for publishing.
Wedding Packages,L13-Full Width Image CTA,L13-Full Width Image CTA,2,Weddings > Wedding Packages,True,SUCCESS: Assembled and marked for publishing.
Meet the Team,M1-Inside Hero,M1-Inside Hero,2,Weddings > Meet the Team,True,SUCCESS: Assembled and marked for publishing.
Meet the Team,A2-Modular Navigation,N/A,2,Weddings > Meet the Team,False,SKIPPED: Component not available.
Meet the Team,L1-Image Intro,L1-Image Intro,2,Weddings > Meet the Team,True,SUCCESS: Assembled and marked for publishing.
Plan your Wedding,M1-Inside Hero,M1-Inside Hero,2,Weddings > Plan your Wedding,True,SUCCESS: Assembled and marked for publishing.
Plan your Wedding,A2-Modular Navigation,N/A,2,Weddings > Plan your Wedding,False,SKIPPED: Component not available.
Plan your Wedding,L2-Content Only Intro,N/A,2,Weddings > Plan your Wedding,False,SKIPPED: Component not available.
Plan your Wedding,L19-Form No Image,N/A,2,Weddings > Plan your Wedding,False,SKIPPED: Component not available.
Plan your Wedding,L7-Image Accordion,N/A,2,Weddings > Plan your Wedding,False,SKIPPED: Component not available.
Wedding Services,N/A,N/A,3,Weddings > Plan your Wedding > Wedding Services,False,SKIPPED: Page had no components defined.
Vendors,N/A,N/A,3,Weddings > Plan your Wedding > Vendors,False,SKIPPED: Page had no components defined.
